"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"29","Missouri","29001","Adair","2011","35","",
"29","Missouri","29001","Adair","2012","68","",
"29","Missouri","29001","Adair","2013","43","",
"29","Missouri","29001","Adair","2014","70","",
"29","Missouri","29001","Adair","2015","64","",
"29","Missouri","29001","Adair","2016","66","",
"29","Missouri","29001","Adair","2017","41","",
"29","Missouri","29001","Adair","2018","33","",
"29","Missouri","29001","Adair","2019","36","",
"29","Missouri","29003","Andrew","2011","32","",
"29","Missouri","29003","Andrew","2012","32","",
"29","Missouri","29003","Andrew","2013","24","",
"29","Missouri","29003","Andrew","2014","26","",
"29","Missouri","29003","Andrew","2015","43","",
"29","Missouri","29003","Andrew","2016","20","",
"29","Missouri","29003","Andrew","2017","22","",
"29","Missouri","29003","Andrew","2018","23","",
"29","Missouri","29003","Andrew","2019","33","",
"29","Missouri","29005","Atchison","2011","36","",
"29","Missouri","29005","Atchison","2012","38","",
"29","Missouri","29005","Atchison","2013","20","",
"29","Missouri","29005","Atchison","2014","50","",
"29","Missouri","29005","Atchison","2015","21","",
"29","Missouri","29005","Atchison","2016","30","",
"29","Missouri","29005","Atchison","2017","19","",
"29","Missouri","29005","Atchison","2018","22","",
"29","Missouri","29005","Atchison","2019","13","",
"29","Missouri","29007","Audrain","2011","154","",
"29","Missouri","29007","Audrain","2012","149","",
"29","Missouri","29007","Audrain","2013","127","",
"29","Missouri","29007","Audrain","2014","144","",
"29","Missouri","29007","Audrain","2015","143","",
"29","Missouri","29007","Audrain","2016","106","",
"29","Missouri","29007","Audrain","2017","91","",
"29","Missouri","29007","Audrain","2018","108","",
"29","Missouri","29007","Audrain","2019","115","",
"29","Missouri","29009","Barry","2011","191","",
"29","Missouri","29009","Barry","2012","198","",
"29","Missouri","29009","Barry","2013","199","",
"29","Missouri","29009","Barry","2014","194","",
"29","Missouri","29009","Barry","2015","154","",
"29","Missouri","29009","Barry","2016","140","",
"29","Missouri","29009","Barry","2017","111","",
"29","Missouri","29009","Barry","2018","80","",
"29","Missouri","29009","Barry","2019","93","",
"29","Missouri","29011","Barton","2011","86","",
"29","Missouri","29011","Barton","2012","120","",
"29","Missouri","29011","Barton","2013","45","",
"29","Missouri","29011","Barton","2014","61","",
"29","Missouri","29011","Barton","2015","50","",
"29","Missouri","29011","Barton","2016","55","",
"29","Missouri","29011","Barton","2017","73","",
"29","Missouri","29011","Barton","2018","25","",
"29","Missouri","29011","Barton","2019","24","",
"29","Missouri","29013","Bates","2011","88","",
"29","Missouri","29013","Bates","2012","87","",
