"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"50","Vermont","50001","Addison","2011","117","",
"50","Vermont","50001","Addison","2012","128","",
"50","Vermont","50001","Addison","2013","125","",
"50","Vermont","50001","Addison","2014","190","",
"50","Vermont","50001","Addison","2015","180","",
"50","Vermont","50001","Addison","2016","136","",
"50","Vermont","50001","Addison","2017","101","",
"50","Vermont","50001","Addison","2018","110","",
"50","Vermont","50001","Addison","2019","132","",
"50","Vermont","50003","Bennington","2011","102","",
"50","Vermont","50003","Bennington","2012","118","",
"50","Vermont","50003","Bennington","2013","114","",
"50","Vermont","50003","Bennington","2014","104","",
"50","Vermont","50003","Bennington","2015","123","",
"50","Vermont","50003","Bennington","2016","123","",
"50","Vermont","50003","Bennington","2017","108","",
"50","Vermont","50003","Bennington","2018","99","",
"50","Vermont","50003","Bennington","2019","124","",
"50","Vermont","50005","Caledonia","2011","153","",
"50","Vermont","50005","Caledonia","2012","155","",
"50","Vermont","50005","Caledonia","2013","161","",
"50","Vermont","50005","Caledonia","2014","178","",
"50","Vermont","50005","Caledonia","2015","166","",
"50","Vermont","50005","Caledonia","2016","100","",
"50","Vermont","50005","Caledonia","2017","95","",
"50","Vermont","50005","Caledonia","2018","104","",
"50","Vermont","50005","Caledonia","2019","95","",
"50","Vermont","50007","Chittenden","2011","433","",
"50","Vermont","50007","Chittenden","2012","404","",
"50","Vermont","50007","Chittenden","2013","477","",
"50","Vermont","50007","Chittenden","2014","463","",
"50","Vermont","50007","Chittenden","2015","455","",
"50","Vermont","50007","Chittenden","2016","358","",
"50","Vermont","50007","Chittenden","2017","325","",
"50","Vermont","50007","Chittenden","2018","338","",
"50","Vermont","50007","Chittenden","2019","317","",
"50","Vermont","50009","Essex","2011","31","",
"50","Vermont","50009","Essex","2012","26","",
"50","Vermont","50009","Essex","2013","11","",
"50","Vermont","50009","Essex","2014","13","",
"50","Vermont","50009","Essex","2015","36","",
"50","Vermont","50009","Essex","2016","13","",
"50","Vermont","50009","Essex","2017","Suppressed","",
"50","Vermont","50009","Essex","2018","15","",
"50","Vermont","50009","Essex","2019","13","",
"50","Vermont","50011","Franklin","2011","249","",
"50","Vermont","50011","Franklin","2012","264","",
"50","Vermont","50011","Franklin","2013","303","",
"50","Vermont","50011","Franklin","2014","321","",
"50","Vermont","50011","Franklin","2015","303","",
"50","Vermont","50011","Franklin","2016","194","",
"50","Vermont","50011","Franklin","2017","173","",
"50","Vermont","50011","Franklin","2018","140","",
"50","Vermont","50011","Franklin","2019","156","",
"50","Vermont","50013","Grand Isle","2011","22","",
"50","Vermont","50013","Grand Isle","2012","19","",
"50","Vermont","50013","Grand Isle","2013","33","",
"50","Vermont","50013","Grand Isle","2014","36","",
"50","Vermont","50013","Grand Isle","2015","19","",
"50","Vermont","50013","Grand Isle","2016","28","",
"50","Vermont","50013","Grand Isle","2017","23","",
"50","Vermont","50013","Grand Isle","2018","30","",
"50","Vermont","50013","Grand Isle","2019","21","",
"50","Vermont","50015","Lamoille","2011","72","",
"50","Vermont","50015","Lamoille","2012","76","",
"50","Vermont","50015","Lamoille","2013","97","",
"50","Vermont","50015","Lamoille","2014","87","",
"50","Vermont","50015","Lamoille","2015","103","",
"50","Vermont","50015","Lamoille","2016","78","",
"50","Vermont","50015","Lamoille","2017","69","",
"50","Vermont","50015","Lamoille","2018","87","",
"50","Vermont","50015","Lamoille","2019","80","",
"50","Vermont","50017","Orange","2011","111","",
"50","Vermont","50017","Orange","2012","138","",
"50","Vermont","50017","Orange","2013","135","",
"50","Vermont","50017","Orange","2014","129","",
"50","Vermont","50017","Orange","2015","132","",
"50","Vermont","50017","Orange","2016","63","",
"50","Vermont","50017","Orange","2017","49","",
"50","Vermont","50017","Orange","2018","69","",
"50","Vermont","50017","Orange","2019","50","",
"50","Vermont","50019","Orleans","2011","174","",
"50","Vermont","50019","Orleans","2012","124","",
"50","Vermont","50019","Orleans","2013","166","",
"50","Vermont","50019","Orleans","2014","156","",
"50","Vermont","50019","Orleans","2015","235","",
"50","Vermont","50019","Orleans","2016","189","",
"50","Vermont","50019","Orleans","2017","163","",
"50","Vermont","50019","Orleans","2018","146","",
"50","Vermont","50019","Orleans","2019","118","",
"50","Vermont","50021","Rutland","2011","377","",
"50","Vermont","50021","Rutland","2012","369","",
"50","Vermont","50021","Rutland","2013","396","",
"50","Vermont","50021","Rutland","2014","390","",
"50","Vermont","50021","Rutland","2015","353","",
"50","Vermont","50021","Rutland","2016","274","",
"50","Vermont","50021","Rutland","2017","217","",
"50","Vermont","50021","Rutland","2018","234","",
"50","Vermont","50021","Rutland","2019","201","",
"50","Vermont","50023","Washington","2011","217","",
"50","Vermont","50023","Washington","2012","218","",
"50","Vermont","50023","Washington","2013","244","",
"50","Vermont","50023","Washington","2014","237","",
"50","Vermont","50023","Washington","2015","190","",
"50","Vermont","50023","Washington","2016","212","",
"50","Vermont","50023","Washington","2017","146","",
"50","Vermont","50023","Washington","2018","159","",
"50","Vermont","50023","Washington","2019","181","",
"50","Vermont","50025","Windham","2011","187","",
