"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"12","Florida","12001","Alachua","2011","1,137","",
"12","Florida","12001","Alachua","2012","1,425","",
"12","Florida","12001","Alachua","2013","1,475","",
"12","Florida","12001","Alachua","2014","1,627","",
"12","Florida","12001","Alachua","2015","1,606","",
"12","Florida","12001","Alachua","2016","1,477","",
"12","Florida","12001","Alachua","2017","1,564","",
"12","Florida","12001","Alachua","2018","1,520","",
"12","Florida","12001","Alachua","2019","1,328","",
"12","Florida","12003","Baker","2011","141","",
"12","Florida","12003","Baker","2012","162","",
"12","Florida","12003","Baker","2013","174","",
"12","Florida","12003","Baker","2014","143","",
"12","Florida","12003","Baker","2015","148","",
"12","Florida","12003","Baker","2016","101","",
"12","Florida","12003","Baker","2017","104","",
"12","Florida","12003","Baker","2018","102","",
"12","Florida","12003","Baker","2019","100","",
"12","Florida","12005","Bay","2011","869","",
"12","Florida","12005","Bay","2012","881","",
"12","Florida","12005","Bay","2013","815","",
"12","Florida","12005","Bay","2014","955","",
"12","Florida","12005","Bay","2015","998","",
"12","Florida","12005","Bay","2016","950","",
"12","Florida","12005","Bay","2017","872","",
"12","Florida","12005","Bay","2018","928","",
"12","Florida","12005","Bay","2019","695","",
"12","Florida","12007","Bradford","2011","134","",
"12","Florida","12007","Bradford","2012","196","",
"12","Florida","12007","Bradford","2013","183","",
"12","Florida","12007","Bradford","2014","149","",
"12","Florida","12007","Bradford","2015","188","",
"12","Florida","12007","Bradford","2016","175","",
"12","Florida","12007","Bradford","2017","201","",
"12","Florida","12007","Bradford","2018","195","",
"12","Florida","12007","Bradford","2019","151","",
"12","Florida","12009","Brevard","2011","1,916","",
"12","Florida","12009","Brevard","2012","2,731","",
"12","Florida","12009","Brevard","2013","2,654","",
"12","Florida","12009","Brevard","2014","2,863","",
"12","Florida","12009","Brevard","2015","2,384","",
"12","Florida","12009","Brevard","2016","2,201","",
"12","Florida","12009","Brevard","2017","2,213","",
"12","Florida","12009","Brevard","2018","2,234","",
"12","Florida","12009","Brevard","2019","1,993","",
"12","Florida","12011","Broward","2011","11,737","",
"12","Florida","12011","Broward","2012","14,328","",
"12","Florida","12011","Broward","2013","13,919","",
"12","Florida","12011","Broward","2014","13,988","",
"12","Florida","12011","Broward","2015","13,249","",
"12","Florida","12011","Broward","2016","12,899","",
"12","Florida","12011","Broward","2017","12,047","",
"12","Florida","12011","Broward","2018","11,880","",
"12","Florida","12011","Broward","2019","11,786","",
"12","Florida","12013","Calhoun","2011","96","",
"12","Florida","12013","Calhoun","2012","87","",
"12","Florida","12013","Calhoun","2013","69","",
"12","Florida","12013","Calhoun","2014","73","",
"12","Florida","12013","Calhoun","2015","80","",
"12","Florida","12013","Calhoun","2016","69","",
"12","Florida","12013","Calhoun","2017","40","",
"12","Florida","12013","Calhoun","2018","39","",
"12","Florida","12013","Calhoun","2019","44","",
"12","Florida","12015","Charlotte","2011","707","",
"12","Florida","12015","Charlotte","2012","885","",
"12","Florida","12015","Charlotte","2013","908","",
"12","Florida","12015","Charlotte","2014","898","",
"12","Florida","12015","Charlotte","2015","763","",
"12","Florida","12015","Charlotte","2016","634","",
"12","Florida","12015","Charlotte","2017","484","",
"12","Florida","12015","Charlotte","2018","544","",
"12","Florida","12015","Charlotte","2019","558","",
"12","Florida","12017","Citrus","2011","382","",
"12","Florida","12017","Citrus","2012","558","",
"12","Florida","12017","Citrus","2013","485","",
"12","Florida","12017","Citrus","2014","579","",
"12","Florida","12017","Citrus","2015","487","",
"12","Florida","12017","Citrus","2016","439","",
"12","Florida","12017","Citrus","2017","422","",
"12","Florida","12017","Citrus","2018","401","",
"12","Florida","12017","Citrus","2019","424","",
"12","Florida","12019","Clay","2011","710","",
"12","Florida","12019","Clay","2012","866","",
"12","Florida","12019","Clay","2013","946","",
"12","Florida","12019","Clay","2014","1,101","",
"12","Florida","12019","Clay","2015","1,007","",
"12","Florida","12019","Clay","2016","951","",
"12","Florida","12019","Clay","2017","1,087","",
"12","Florida","12019","Clay","2018","1,174","",
"12","Florida","12019","Clay","2019","1,088","",
"12","Florida","12021","Collier","2011","998","",
"12","Florida","12021","Collier","2012","1,111","",
"12","Florida","12021","Collier","2013","1,185","",
"12","Florida","12021","Collier","2014","1,176","",
"12","Florida","12021","Collier","2015","1,068","",
"12","Florida","12021","Collier","2016","1,080","",
"12","Florida","12021","Collier","2017","1,058","",
"12","Florida","12021","Collier","2018","1,094","",
"12","Florida","12021","Collier","2019","1,062","",
"12","Florida","12023","Columbia","2011","405","",
"12","Florida","12023","Columbia","2012","539","",
"12","Florida","12023","Columbia","2013","582","",
"12","Florida","12023","Columbia","2014","570","",
"12","Florida","12023","Columbia","2015","478","",
"12","Florida","12023","Columbia","2016","426","",
"12","Florida","12023","Columbia","2017","476","",
"12","Florida","12023","Columbia","2018","591","",
"12","Florida","12023","Columbia","2019","515","",
"12","Florida","12027","DeSoto","2011","118","",
"12","Florida","12027","DeSoto","2012","163","",
"12","Florida","12027","DeSoto","2013","164","",
"12","Florida","12027","DeSoto","2014","147","",
"12","Florida","12027","DeSoto","2015","105","",
"12","Florida","12027","DeSoto","2016","79","",
"12","Florida","12027","DeSoto","2017","138","",
"12","Florida","12027","DeSoto","2018","181","",
"12","Florida","12027","DeSoto","2019","125","",
"12","Florida","12029","Dixie","2011","49","",
"12","Florida","12029","Dixie","2012","55","",
"12","Florida","12029","Dixie","2013","51","",
"12","Florida","12029","Dixie","2014","59","",
"12","Florida","12029","Dixie","2015","59","",
"12","Florida","12029","Dixie","2016","65","",
"12","Florida","12029","Dixie","2017","56","",
"12","Florida","12029","Dixie","2018","43","",
"12","Florida","12029","Dixie","2019","40","",
"12","Florida","12031","Duval","2011","6,237","",
"12","Florida","12031","Duval","2012","7,347","",
"12","Florida","12031","Duval","2013","8,255","",
"12","Florida","12031","Duval","2014","8,283","",
"12","Florida","12031","Duval","2015","8,484","",
"12","Florida","12031","Duval","2016","7,780","",
"12","Florida","12031","Duval","2017","7,744","",
"12","Florida","12031","Duval","2018","8,111","",
"12","Florida","12031","Duval","2019","7,757","",
"12","Florida","12033","Escambia","2011","1,977","",
"12","Florida","12033","Escambia","2012","2,354","",
"12","Florida","12033","Escambia","2013","2,131","",
"12","Florida","12033","Escambia","2014","2,361","",
"12","Florida","12033","Escambia","2015","2,235","",
"12","Florida","12033","Escambia","2016","2,096","",
"12","Florida","12033","Escambia","2017","1,909","",
"12","Florida","12033","Escambia","2018","2,071","",
"12","Florida","12033","Escambia","2019","2,030","",
"12","Florida","12035","Flagler","2011","473","",
"12","Florida","12035","Flagler","2012","501","",
"12","Florida","12035","Flagler","2013","552","",
"12","Florida","12035","Flagler","2014","544","",
"12","Florida","12035","Flagler","2015","483","",
"12","Florida","12035","Flagler","2016","467","",
"12","Florida","12035","Flagler","2017","363","",
"12","Florida","12035","Flagler","2018","410","",
"12","Florida","12035","Flagler","2019","385","",
"12","Florida","12037","Franklin","2011","76","",
"12","Florida","12037","Franklin","2012","48","",
"12","Florida","12037","Franklin","2013","73","",
"12","Florida","12037","Franklin","2014","75","",
"12","Florida","12037","Franklin","2015","60","",
"12","Florida","12037","Franklin","2016","57","",
"12","Florida","12037","Franklin","2017","54","",
"12","Florida","12037","Franklin","2018","66","",
"12","Florida","12037","Franklin","2019","46","",
"12","Florida","12039","Gadsden","2011","581","",
"12","Florida","12039","Gadsden","2012","632","",
"12","Florida","12039","Gadsden","2013","638","",
"12","Florida","12039","Gadsden","2014","593","",
"12","Florida","12039","Gadsden","2015","646","",
"12","Florida","12039","Gadsden","2016","582","",
"12","Florida","12039","Gadsden","2017","539","",
"12","Florida","12039","Gadsden","2018","536","",
"12","Florida","12039","Gadsden","2019","493","",
"12","Florida","12041","Gilchrist","2011","40","",
"12","Florida","12041","Gilchrist","2012","33","",
"12","Florida","12041","Gilchrist","2013","43","",
"12","Florida","12041","Gilchrist","2014","86","",
"12","Florida","12041","Gilchrist","2015","83","",
