"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"55","Wisconsin","55001","Adams","2011","79","",
"55","Wisconsin","55001","Adams","2012","78","",
"55","Wisconsin","55001","Adams","2013","77","",
"55","Wisconsin","55001","Adams","2014","58","",
"55","Wisconsin","55001","Adams","2015","83","",
"55","Wisconsin","55001","Adams","2016","66","",
"55","Wisconsin","55001","Adams","2017","55","",
"55","Wisconsin","55001","Adams","2018","63","",
"55","Wisconsin","55001","Adams","2019","60","",
"55","Wisconsin","55003","Ashland","2011","44","",
"55","Wisconsin","55003","Ashland","2012","59","",
"55","Wisconsin","55003","Ashland","2013","53","",
"55","Wisconsin","55003","Ashland","2014","57","",
"55","Wisconsin","55003","Ashland","2015","45","",
"55","Wisconsin","55003","Ashland","2016","41","",
"55","Wisconsin","55003","Ashland","2017","52","",
"55","Wisconsin","55003","Ashland","2018","65","",
"55","Wisconsin","55003","Ashland","2019","57","",
"55","Wisconsin","55005","Barron","2011","158","",
"55","Wisconsin","55005","Barron","2012","145","",
"55","Wisconsin","55005","Barron","2013","168","",
"55","Wisconsin","55005","Barron","2014","198","",
"55","Wisconsin","55005","Barron","2015","156","",
"55","Wisconsin","55005","Barron","2016","126","",
"55","Wisconsin","55005","Barron","2017","117","",
"55","Wisconsin","55005","Barron","2018","156","",
"55","Wisconsin","55005","Barron","2019","112","",
"55","Wisconsin","55007","Bayfield","2011","33","",
"55","Wisconsin","55007","Bayfield","2012","40","",
"55","Wisconsin","55007","Bayfield","2013","29","",
"55","Wisconsin","55007","Bayfield","2014","43","",
"55","Wisconsin","55007","Bayfield","2015","43","",
"55","Wisconsin","55007","Bayfield","2016","20","",
"55","Wisconsin","55007","Bayfield","2017","30","",
"55","Wisconsin","55007","Bayfield","2018","32","",
"55","Wisconsin","55007","Bayfield","2019","28","",
"55","Wisconsin","55009","Brown","2011","1,178","",
"55","Wisconsin","55009","Brown","2012","1,335","",
"55","Wisconsin","55009","Brown","2013","1,040","",
"55","Wisconsin","55009","Brown","2014","1,090","",
"55","Wisconsin","55009","Brown","2015","1,007","",
"55","Wisconsin","55009","Brown","2016","1,031","",
"55","Wisconsin","55009","Brown","2017","955","",
"55","Wisconsin","55009","Brown","2018","917","",
"55","Wisconsin","55009","Brown","2019","850","",
"55","Wisconsin","55011","Buffalo","2011","45","",
"55","Wisconsin","55011","Buffalo","2012","35","",
"55","Wisconsin","55011","Buffalo","2013","29","",
"55","Wisconsin","55011","Buffalo","2014","26","",
"55","Wisconsin","55011","Buffalo","2015","24","",
"55","Wisconsin","55011","Buffalo","2016","17","",
"55","Wisconsin","55011","Buffalo","2017","23","",
"55","Wisconsin","55011","Buffalo","2018","20","",
"55","Wisconsin","55011","Buffalo","2019","25","",
"55","Wisconsin","55013","Burnett","2011","53","",
"55","Wisconsin","55013","Burnett","2012","53","",
"55","Wisconsin","55013","Burnett","2013","52","",
"55","Wisconsin","55013","Burnett","2014","41","",
"55","Wisconsin","55013","Burnett","2015","36","",
"55","Wisconsin","55013","Burnett","2016","33","",
"55","Wisconsin","55013","Burnett","2017","49","",
"55","Wisconsin","55013","Burnett","2018","34","",
"55","Wisconsin","55013","Burnett","2019","33","",
"55","Wisconsin","55015","Calumet","2011","63","",
"55","Wisconsin","55015","Calumet","2012","72","",
"55","Wisconsin","55015","Calumet","2013","70","",
"55","Wisconsin","55015","Calumet","2014","94","",
"55","Wisconsin","55015","Calumet","2015","94","",
"55","Wisconsin","55015","Calumet","2016","85","",
"55","Wisconsin","55015","Calumet","2017","81","",
"55","Wisconsin","55015","Calumet","2018","109","",
"55","Wisconsin","55015","Calumet","2019","102","",
"55","Wisconsin","55017","Chippewa","2011","158","",
"55","Wisconsin","55017","Chippewa","2012","134","",
"55","Wisconsin","55017","Chippewa","2013","134","",
"55","Wisconsin","55017","Chippewa","2014","135","",
"55","Wisconsin","55017","Chippewa","2015","149","",
"55","Wisconsin","55017","Chippewa","2016","112","",
"55","Wisconsin","55017","Chippewa","2017","159","",
"55","Wisconsin","55017","Chippewa","2018","187","",
"55","Wisconsin","55017","Chippewa","2019","160","",
"55","Wisconsin","55019","Clark","2011","104","",
"55","Wisconsin","55019","Clark","2012","98","",
"55","Wisconsin","55019","Clark","2013","78","",
"55","Wisconsin","55019","Clark","2014","85","",
"55","Wisconsin","55019","Clark","2015","73","",
"55","Wisconsin","55019","Clark","2016","73","",
"55","Wisconsin","55019","Clark","2017","58","",
"55","Wisconsin","55019","Clark","2018","61","",
"55","Wisconsin","55019","Clark","2019","42","",
"55","Wisconsin","55021","Columbia","2011","169","",
"55","Wisconsin","55021","Columbia","2012","250","",
"55","Wisconsin","55021","Columbia","2013","194","",
"55","Wisconsin","55021","Columbia","2014","237","",
"55","Wisconsin","55021","Columbia","2015","220","",
"55","Wisconsin","55021","Columbia","2016","166","",
"55","Wisconsin","55021","Columbia","2017","207","",
"55","Wisconsin","55021","Columbia","2018","146","",
"55","Wisconsin","55021","Columbia","2019","162","",
"55","Wisconsin","55023","Crawford","2011","43","",
"55","Wisconsin","55023","Crawford","2012","37","",
"55","Wisconsin","55023","Crawford","2013","31","",
"55","Wisconsin","55023","Crawford","2014","35","",
"55","Wisconsin","55023","Crawford","2015","56","",
"55","Wisconsin","55023","Crawford","2016","44","",
"55","Wisconsin","55023","Crawford","2017","45","",
"55","Wisconsin","55023","Crawford","2018","37","",
"55","Wisconsin","55023","Crawford","2019","29","",
"55","Wisconsin","55025","Dane","2011","1,296","",
"55","Wisconsin","55025","Dane","2012","1,332","",
"55","Wisconsin","55025","Dane","2013","1,277","",
"55","Wisconsin","55025","Dane","2014","1,441","",
"55","Wisconsin","55025","Dane","2015","1,333","",
"55","Wisconsin","55025","Dane","2016","1,242","",
"55","Wisconsin","55025","Dane","2017","1,265","",
"55","Wisconsin","55025","Dane","2018","1,160","",
"55","Wisconsin","55025","Dane","2019","1,148","",
"55","Wisconsin","55027","Dodge","2011","406","",
"55","Wisconsin","55027","Dodge","2012","348","",
"55","Wisconsin","55027","Dodge","2013","356","",
"55","Wisconsin","55027","Dodge","2014","380","",
"55","Wisconsin","55027","Dodge","2015","370","",
"55","Wisconsin","55027","Dodge","2016","342","",
"55","Wisconsin","55027","Dodge","2017","281","",
"55","Wisconsin","55027","Dodge","2018","250","",
"55","Wisconsin","55027","Dodge","2019","251","",
"55","Wisconsin","55029","Door","2011","63","",
"55","Wisconsin","55029","Door","2012","90","",
"55","Wisconsin","55029","Door","2013","85","",
"55","Wisconsin","55029","Door","2014","77","",
"55","Wisconsin","55029","Door","2015","54","",
"55","Wisconsin","55029","Door","2016","56","",
"55","Wisconsin","55029","Door","2017","54","",
"55","Wisconsin","55029","Door","2018","57","",
"55","Wisconsin","55029","Door","2019","47","",
"55","Wisconsin","55031","Douglas","2011","196","",
"55","Wisconsin","55031","Douglas","2012","208","",
"55","Wisconsin","55031","Douglas","2013","167","",
"55","Wisconsin","55031","Douglas","2014","178","",
