26.8	45.8	142.0	1.2
14.8	50.2	88.0	0.0
25.8	51.4	76.0	0.0
18.4	56.0	90.0	0.0
35.0	64.6	164.0	2.0
29.2	59.4	110.0	0.4
28.6	50.0	98.0	0.0
15.4	53.4	96.0	0.0
19.4	63.8	84.0	0.0
26.2	60.2	116.0	2.8
26.8	60.8	96.0	0.0
31.8	43.4	178.0	4.4
31.8	37.2	152.0	31.2
19.6	55.4	100.0	0.0
28.2	41.8	138.0	0.0
27.0	45.8	160.0	33.6
22.4	45.0	94.0	21.2
19.6	51.2	90.0	0.0
23.0	58.6	112.0	0.0
34.2	66.0	76.0	0.0
41.0	63.6	108.0	0.0
25.2	64.8	98.0	0.0
32.4	67.8	90.0	0.0
33.8	66.0	82.0	0.0
40.2	65.4	112.0	0.0
39.4	54.4	98.0	0.0
25.0	48.4	156.0	2.4
24.0	48.8	96.0	1.6
22.6	53.0	92.0	0.0
19.2	47.8	88.0	0.0
21.0	57.6	86.0	0.0
24.6	69.2	82.0	0.0
25.8	71.6	82.0	0.0
27.4	75.8	66.0	0.0
32.2	77.8	68.0	0.0
28.0	56.6	86.0	0.0
25.0	56.8	76.0	0.0
34.0	61.6	72.0	0.0
33.8	64.0	104.0	0.0
34.6	69.4	96.0	0.0
34.4	75.4	102.0	0.0
34.8	86.0	80.0	0.0
39.6	65.4	68.0	0.0
29.8	53.4	92.0	0.0
21.0	56.8	70.0	0.0
22.6	64.4	68.0	0.0
27.8	73.2	78.0	0.0
37.2	79.8	72.0	0.0
38.6	76.2	96.0	1.6
48.8	68.0	120.0	1.2
37.6	70.4	86.0	12.8
41.6	61.2	82.0	0.0
28.0	68.6	88.0	0.0
31.4	76.8	96.0	0.0
37.0	76.4	96.0	0.0
40.8	81.4	90.0	0.0
43.6	83.0	76.0	0.0
44.6	85.8	74.0	0.0
44.0	85.4	66.0	0.0
56.0	86.2	54.0	0.0
48.8	76.6	64.0	0.4
43.0	75.4	102.0	0.0
43.4	73.8	106.0	0.0
43.0	82.4	96.0	0.0
47.0	84.4	78.0	0.0
44.6	89.6	72.0	0.0
56.6	80.4	40.0	0.0
36.8	62.4	132.0	0.8
29.8	54.6	100.0	0.0
27.0	53.4	90.0	0.0
32.2	43.2	116.0	0.0
29.2	58.0	82.0	6.0
24.8	58.4	74.0	0.0
26.6	62.6	100.0	0.0
34.4	62.2	86.0	0.0
25.0	57.6	92.0	0.0
36.0	64.0	88.0	0.0
32.4	68.0	106.0	0.0
